RANGE                                  SIZE  STATE REMOVABLE     BLOCK
0x0000003d08000000-0x0000003d17ffffff  256M online        no 1953-1954
0x0000003d18000000-0x0000003d37ffffff  512M online       yes 1955-1958
0x0000003d38000000-0x0000003d3fffffff  128M online        no      1959
0x0000003d40000000-0x0000003d57ffffff  384M online       yes 1960-1962
0x0000003d58000000-0x0000003d67ffffff  256M online        no 1963-1964
0x0000003d68000000-0x0000003d6fffffff  128M online       yes      1965
0x0000003d70000000-0x0000003d7fffffff  256M online        no 1966-1967
0x0000003d80000000-0x0000003d87ffffff  128M online       yes      1968
0x0000003d88000000-0x0000003d97ffffff  256M online        no 1969-1970
0x0000003d98000000-0x0000003da7ffffff  256M online       yes 1971-1972
0x0000003da8000000-0x0000003dc7ffffff  512M online        no 1973-1976
0x0000003dc8000000-0x0000003dcfffffff  128M online       yes      1977
0x0000003dd0000000-0x0000003ddfffffff  256M online        no 1978-1979
0x0000003de0000000-0x0000003defffffff  256M online       yes 1980-1981
0x0000003df0000000-0x0000003e07ffffff  384M online        no 1982-1984
0x0000003e08000000-0x0000003e0fffffff  128M online       yes      1985
0x0000003e10000000-0x0000003e17ffffff  128M online        no      1986
0x0000003e18000000-0x0000003e1fffffff  128M online       yes      1987
0x0000003e20000000-0x0000003e2fffffff  256M online        no 1988-1989
0x0000003e30000000-0x0000003e3fffffff  256M online       yes 1990-1991
0x0000003e40000000-0x0000003e4fffffff  256M online        no 1992-1993
0x0000003e50000000-0x0000003e67ffffff  384M online       yes 1994-1996
0x0000003e68000000-0x0000003e8fffffff  640M online        no 1997-2001
0x0000003e90000000-0x0000003ea7ffffff  384M online       yes 2002-2004
0x0000003ea8000000-0x0000003eafffffff  128M online        no      2005
0x0000003eb0000000-0x0000003eb7ffffff  128M online       yes      2006
0x0000003eb8000000-0x0000003ebfffffff  128M online        no      2007
0x0000003ec0000000-0x0000003ec7ffffff  128M online       yes      2008
0x0000003ec8000000-0x0000003ed7ffffff  256M online        no 2009-2010
0x0000003ed8000000-0x0000003edfffffff  128M online       yes      2011
0x0000003ee0000000-0x0000003ee7ffffff  128M online        no      2012
